Numéro de commande;Date;SKU;Nom;Quantité;
#1425;17-oct.-18;1-0100;Produit 100;1;
#1426;18-oct.-18;1-0096;Produit 96;1;
#1427;18-oct.-18;1-0078;Produit 78;1;
#1427;18-oct.-18;1-0008;Produit 8;1;
#1427;18-oct.-18;1-0014;Produit 14;1;
#1427;18-oct.-18;1-0065;Produit 65;1;
#1427;18-oct.-18;1-0063;Produit 63;1;
#1428;18-oct.-18;1-0003;Produit 3;1;
#1428;18-oct.-18;1-0055;Produit 55;2;
#1428;18-oct.-18;1-0002;Produit 2;1;
#1429;18-oct.-18;1-0046;Produit 46;1;
#1429;18-oct.-18;1-0095;Produit 95;1;
#1429;18-oct.-18;1-0094;Produit 94;1;
#1429;18-oct.-18;1-0008;Produit 8;1;
#1429;18-oct.-18;1-0033;Produit 33;1;
#1429;18-oct.-18;1-0034;Produit 34;1;
#1429;18-oct.-18;1-0044;Produit 44;1;
#1429;18-oct.-18;1-0043;Produit 43;1;
#1429;18-oct.-18;1-0002;Produit 2;1;
#1429;18-oct.-18;1-0001;Produit 1;1;
#1429;18-oct.-18;1-0039;Produit 39;1;
#1429;18-oct.-18;1-0053;Produit 53;1;
#1429;18-oct.-18;1-0015;Produit 15;1;
#1430;18-oct.-18;1-0052;Produit 52;2;
#1430;18-oct.-18;1-0070;Produit 70;1;
#1430;18-oct.-18;1-0050;Produit 50;3;
#1432;18-oct.-18;1-0047;Produit 47;1;
#1433;19-oct.-18;1-0040;Produit 40;2;
#1433;19-oct.-18;1-0072;Produit 72;1;
#1434;19-oct.-18;1-0011;Produit 11;1;
#1435;19-oct.-18;1-0050;Produit 50;4;
#1435;19-oct.-18;1-0023;Produit 23;1;
#1435;19-oct.-18;1-0014;Produit 14;1;
#1435;19-oct.-18;1-0049;Produit 49;1;
#1436;19-oct.-18;1-0044;Produit 44;1;
#1436;19-oct.-18;1-0054;Produit 54;1;
#1437;19-oct.-18;1-0056;Produit 56;2;
#1438;19-oct.-18;1-0082;Produit 82;1;
#1438;19-oct.-18;1-0065;Produit 65;1;
#1438;19-oct.-18;1-0063;Produit 63;2;
#1438;19-oct.-18;1-0001;Produit 1;1;
#1439;19-oct.-18;1-0007;Produit 7;1;
#1439;19-oct.-18;1-0100;Produit 100;2;
#1439;19-oct.-18;1-0009;Produit 9;2;
#1439;19-oct.-18;1-0012;Produit 12;1;
#1439;19-oct.-18;1-0016;Produit 16;1;
#1439;19-oct.-18;1-0006;Produit 6;1;
#1439;19-oct.-18;1-0014;Produit 14;1;
#1439;19-oct.-18;1-0034;Produit 34;1;
#1439;19-oct.-18;1-0003;Produit 3;1;
#1441;20-oct.-18;1-0087;Produit 87;1;
#1441;20-oct.-18;1-0098;Produit 98;1;
#1441;20-oct.-18;1-0099;Produit 99;1;
#1441;20-oct.-18;1-0053;Produit 53;3;
#1441;20-oct.-18;1-0055;Produit 55;3;
#1441;20-oct.-18;1-0050;Produit 50;6;
#1442;20-oct.-18;1-0058;Produit 58;1;
#1445;21-oct.-18;1-0096;Produit 96;1;
#1446;21-oct.-18;1-0077;Produit 77;1;
#1446;21-oct.-18;1-0052;Produit 52;2;
#1446;21-oct.-18;1-0055;Produit 55;1;
#1446;21-oct.-18;1-0068;Produit 68;2;
#1447;21-oct.-18;1-0041;Produit 41;1;
#1447;21-oct.-18;1-0061;Produit 61;1;
#1447;21-oct.-18;1-0063;Produit 63;1;
#1447;21-oct.-18;1-0023;Produit 23;1;
#1447;21-oct.-18;1-0026;Produit 26;1;
#1447;21-oct.-18;1-0100;Produit 100;2;
#1448;21-oct.-18;1-0010;Produit 10;1;
#1448;21-oct.-18;1-0060;Produit 60;1;
#1448;21-oct.-18;1-0038;Produit 38;1;
#1449;21-oct.-18;1-0100;Produit 100;1;
#1449;21-oct.-18;1-0004;Produit 4;1;
#1449;21-oct.-18;1-0037;Produit 37;1;
#1449;21-oct.-18;1-0034;Produit 34;1;
#1449;21-oct.-18;1-0067;Produit 67;1;
#1449;21-oct.-18;1-0066;Produit 66;1;
#1449;21-oct.-18;1-0060;Produit 60;1;
#1450;22-oct.-18;1-0070;Produit 70;1;
#1450;22-oct.-18;1-0045;Produit 45;1;
#1450;22-oct.-18;1-0050;Produit 50;1;
#1450;22-oct.-18;1-0052;Produit 52;1;
#1452;22-oct.-18;1-0096;Produit 96;2;
#1452;22-oct.-18;1-0001;Produit 1;1;
#1453;22-oct.-18;1-0079;Produit 79;1;
#1453;22-oct.-18;1-0028;Produit 28;1;
#1453;22-oct.-18;1-0029;Produit 29;1;
#1453;22-oct.-18;1-0056;Produit 56;1;
#1454;22-oct.-18;1-0022;Produit 22;1;
#1454;22-oct.-18;1-0050;Produit 50;2;
#1454;22-oct.-18;1-0022;Produit 22;1;
#1454;22-oct.-18;1-0050;Produit 50;2;
#1455;22-oct.-18;1-0078;Produit 78;1;
#1455;22-oct.-18;1-0011;Produit 11;1;
#1455;22-oct.-18;1-0050;Produit 50;1;
#1455;22-oct.-18;1-0053;Produit 53;1;
#1455;22-oct.-18;1-0066;Produit 66;1;
#1456;23-oct.-18;1-0014;Produit 14;1;
#1456;23-oct.-18;1-0001;Produit 1;1;
#1456;23-oct.-18;1-0050;Produit 50;6;
#1456;23-oct.-18;1-0053;Produit 53;1;
#1456;23-oct.-18;1-0055;Produit 55;2;
#1457;23-oct.-18;1-0058;Produit 58;1;
#1457;23-oct.-18;1-0052;Produit 52;1;
#1457;23-oct.-18;1-0050;Produit 50;3;
#1457;23-oct.-18;1-0079;Produit 79;1;
#1459;23-oct.-18;1-0063;Produit 63;2;
#1459;23-oct.-18;1-0053;Produit 53;1;
#1459;23-oct.-18;1-0050;Produit 50;1;
#1459;23-oct.-18;1-0074;Produit 74;1;
#1460;23-oct.-18;1-0020;Produit 20;2;
#1460;23-oct.-18;1-0004;Produit 4;3;
#1460;23-oct.-18;1-0096;Produit 96;3;
#1460;23-oct.-18;1-0050;Produit 50;5;
#1460;23-oct.-18;1-0055;Produit 55;5;
#1461;23-oct.-18;1-0035;Produit 35;1;
#1461;23-oct.-18;1-0081;Produit 81;1;
#1461;23-oct.-18;1-0052;Produit 52;2;
#1461;23-oct.-18;1-0067;Produit 67;2;
#1461;23-oct.-18;1-0066;Produit 66;1;
#1461;23-oct.-18;1-0060;Produit 60;1;
#1462;23-oct.-18;1-0008;Produit 8;1;
#1462;23-oct.-18;1-0031;Produit 31;2;
#1462;23-oct.-18;1-0037;Produit 37;2;
#1462;23-oct.-18;1-0047;Produit 47;1;
#1462;23-oct.-18;1-0041;Produit 41;2;
#1462;23-oct.-18;1-0058;Produit 58;1;
#1462;23-oct.-18;1-0050;Produit 50;3;
#1463;23-oct.-18;1-0012;Produit 12;1;
#1463;23-oct.-18;1-0010;Produit 10;1;
#1463;23-oct.-18;1-0051;Produit 51;1;
#1464;24-oct.-18;1-0096;Produit 96;1;
#1465;24-oct.-18;1-0023;Produit 23;1;
#1465;24-oct.-18;1-0062;Produit 62;1;
#1465;24-oct.-18;1-0056;Produit 56;1;
#1465;24-oct.-18;1-0055;Produit 55;1;
#1465;24-oct.-18;1-0053;Produit 53;2;
#1468;24-oct.-18;1-0053;Produit 53;1;
#1468;24-oct.-18;1-0066;Produit 66;1;
#1468;24-oct.-18;1-0067;Produit 67;1;
#1468;24-oct.-18;1-0063;Produit 63;2;
#1468;24-oct.-18;1-0007;Produit 7;1;
#1468;24-oct.-18;1-0013;Produit 13;1;
#1468;24-oct.-18;1-0096;Produit 96;1;
#1468;24-oct.-18;1-0008;Produit 8;1;
#1469;24-oct.-18;1-0091;Produit 91;1;
#1469;24-oct.-18;1-0092;Produit 92;1;
#1469;24-oct.-18;1-0065;Produit 65;1;
#1469;24-oct.-18;1-0063;Produit 63;1;
#1469;24-oct.-18;1-0031;Produit 31;1;
#1469;24-oct.-18;1-0055;Produit 55;10;
#1469;24-oct.-18;1-0058;Produit 58;5;
#1469;24-oct.-18;1-0054;Produit 54;10;
#1469;24-oct.-18;1-0033;Produit 33;1;
#1469;24-oct.-18;1-0043;Produit 43;1;
#1469;24-oct.-18;1-0039;Produit 39;1;
#1469;24-oct.-18;1-0057;Produit 57;5;
#1469;24-oct.-18;1-0050;Produit 50;10;
#1470;24-oct.-18;1-0069;Produit 69;2;
#1470;24-oct.-18;1-0077;Produit 77;1;
#1470;24-oct.-18;1-0050;Produit 50;6;
#1470;24-oct.-18;1-0053;Produit 53;4;
#1470;24-oct.-18;1-0055;Produit 55;6;
#1470;24-oct.-18;1-0052;Produit 52;3;
#1470;24-oct.-18;1-0056;Produit 56;5;
#1471;24-oct.-18;1-0056;Produit 56;1;
#1471;24-oct.-18;1-0055;Produit 55;1;
#1471;24-oct.-18;1-0050;Produit 50;1;
#1471;24-oct.-18;1-0029;Produit 29;1;
#1471;24-oct.-18;1-0030;Produit 30;1;
#1471;24-oct.-18;1-0028;Produit 28;1;
#1471;24-oct.-18;1-0059;Produit 59;1;
#1471;24-oct.-18;1-0064;Produit 64;1;
#1471;24-oct.-18;1-0065;Produit 65;1;
#1471;24-oct.-18;1-0039;Produit 39;1;
#1472;24-oct.-18;1-0010;Produit 10;1;
#1472;24-oct.-18;1-0056;Produit 56;1;
#1472;24-oct.-18;1-0067;Produit 67;1;
#1472;24-oct.-18;1-0061;Produit 61;1;
#1472;24-oct.-18;1-0050;Produit 50;2;
#1473;24-oct.-18;1-0061;Produit 61;1;
#1473;24-oct.-18;1-0059;Produit 59;2;
#1473;24-oct.-18;1-0064;Produit 64;2;
#1473;24-oct.-18;1-0065;Produit 65;5;
#1474;24-oct.-18;1-0056;Produit 56;2;
#1474;24-oct.-18;1-0078;Produit 78;1;
#1474;24-oct.-18;1-0085;Produit 85;1;
#1474;24-oct.-18;1-0063;Produit 63;3;
#1475;25-oct.-18;1-0066;Produit 66;1;
#1475;25-oct.-18;1-0067;Produit 67;1;
#1475;25-oct.-18;1-0061;Produit 61;2;
#1476;25-oct.-18;1-0052;Produit 52;1;
#1476;25-oct.-18;1-0050;Produit 50;2;
#1476;25-oct.-18;1-0081;Produit 81;1;
#1476;25-oct.-18;1-0068;Produit 68;2;
#1477;25-oct.-18;1-0011;Produit 11;1;
#1477;25-oct.-18;1-0100;Produit 100;2;
#1477;25-oct.-18;1-0049;Produit 49;1;
#1477;25-oct.-18;1-0054;Produit 54;1;
#1477;25-oct.-18;1-0050;Produit 50;3;
#1478;25-oct.-18;1-0098;Produit 98;1;
#1478;25-oct.-18;1-0065;Produit 65;1;
#1478;25-oct.-18;1-0100;Produit 100;1;
#1479;25-oct.-18;1-0004;Produit 4;1;
#1479;25-oct.-18;1-0051;Produit 51;1;
#1479;25-oct.-18;1-0050;Produit 50;1;
#1480;25-oct.-18;1-0033;Produit 33;1;
#1480;25-oct.-18;1-0037;Produit 37;1;
#1480;25-oct.-18;1-0032;Produit 32;1;
#1480;25-oct.-18;1-0030;Produit 30;1;
#1480;25-oct.-18;1-0065;Produit 65;1;
#1480;25-oct.-18;1-0050;Produit 50;2;
#1481;25-oct.-18;1-0062;Produit 62;1;
#1481;25-oct.-18;1-0064;Produit 64;1;
#1481;25-oct.-18;1-0029;Produit 29;1;
#1482;25-oct.-18;1-0004;Produit 4;1;
#1482;25-oct.-18;1-0096;Produit 96;1;
#1482;25-oct.-18;1-0050;Produit 50;10;
#1482;25-oct.-18;1-0058;Produit 58;2;
#1482;25-oct.-18;1-0081;Produit 81;2;
#1483;26-oct.-18;1-0015;Produit 15;1;
#1483;26-oct.-18;1-0050;Produit 50;5;
#1484;26-oct.-18;1-0055;Produit 55;3;
#1484;26-oct.-18;1-0050;Produit 50;4;
#1484;26-oct.-18;1-0061;Produit 61;3;
#1484;26-oct.-18;1-0100;Produit 100;1;
#1485;26-oct.-18;1-0013;Produit 13;4;
#1485;26-oct.-18;1-0011;Produit 11;4;
#1485;26-oct.-18;1-0012;Produit 12;2;
#1486;26-oct.-18;1-0021;Produit 21;1;
#1486;26-oct.-18;1-0059;Produit 59;1;
#1486;26-oct.-18;1-0030;Produit 30;1;
#1486;26-oct.-18;1-0096;Produit 96;1;
#1486;26-oct.-18;1-0070;Produit 70;2;
#1486;26-oct.-18;1-0075;Produit 75;1;
#1486;26-oct.-18;1-0065;Produit 65;1;
#1486;26-oct.-18;1-0100;Produit 100;1;
#1486;26-oct.-18;1-0061;Produit 61;1;
#1487;26-oct.-18;1-0004;Produit 4;1;
#1487;26-oct.-18;1-0100;Produit 100;2;
#1487;26-oct.-18;1-0050;Produit 50;1;
#1487;26-oct.-18;1-0047;Produit 47;1;
#1488;26-oct.-18;1-0013;Produit 13;2;
#1488;26-oct.-18;1-0040;Produit 40;1;
#1489;27-oct.-18;1-0098;Produit 98;1;
#1489;27-oct.-18;1-0056;Produit 56;2;
#1489;27-oct.-18;1-0053;Produit 53;2;
#1490;27-oct.-18;1-0032;Produit 32;1;
#1490;27-oct.-18;1-0001;Produit 1;1;
#1490;27-oct.-18;1-0059;Produit 59;1;
#1490;27-oct.-18;1-0066;Produit 66;1;
#1490;27-oct.-18;1-0065;Produit 65;1;
#1491;27-oct.-18;1-0070;Produit 70;1;
#1491;27-oct.-18;1-0075;Produit 75;1;
#1491;27-oct.-18;1-0074;Produit 74;1;
#1491;27-oct.-18;1-0050;Produit 50;3;
#1491;27-oct.-18;1-0053;Produit 53;1;
#1491;27-oct.-18;1-0056;Produit 56;3;
#1491;27-oct.-18;1-0033;Produit 33;1;
#1491;27-oct.-18;1-0002;Produit 2;1;
#1491;27-oct.-18;1-0034;Produit 34;1;
#1491;27-oct.-18;1-0001;Produit 1;1;
#1491;27-oct.-18;1-0028;Produit 28;1;
#1491;27-oct.-18;1-0029;Produit 29;1;
#1491;27-oct.-18;1-0030;Produit 30;1;
#1491;27-oct.-18;1-0066;Produit 66;1;
#1492;27-oct.-18;1-0044;Produit 44;2;
#1492;27-oct.-18;1-0002;Produit 2;1;
#1492;27-oct.-18;1-0001;Produit 1;1;
#1492;27-oct.-18;1-0070;Produit 70;1;
#1493;27-oct.-18;1-0015;Produit 15;1;
#1493;27-oct.-18;1-0013;Produit 13;1;
#1493;27-oct.-18;1-0066;Produit 66;1;
#1493;27-oct.-18;1-0008;Produit 8;1;
#1494;27-oct.-18;1-0030;Produit 30;2;
#1494;27-oct.-18;1-0004;Produit 4;1;
#1494;27-oct.-18;1-0056;Produit 56;4;
#1495;27-oct.-18;1-0081;Produit 81;1;
#1495;27-oct.-18;1-0073;Produit 73;1;
#1495;27-oct.-18;1-0045;Produit 45;1;
#1495;27-oct.-18;1-0038;Produit 38;1;
#1495;27-oct.-18;1-0066;Produit 66;1;
#1496;28-oct.-18;1-0058;Produit 58;3;
#1496;28-oct.-18;1-0050;Produit 50;10;
#1496;28-oct.-18;1-0003;Produit 3;1;
#1497;28-oct.-18;1-0021;Produit 21;1;
#1497;28-oct.-18;1-0020;Produit 20;1;
#1497;28-oct.-18;1-0004;Produit 4;2;
#1497;28-oct.-18;1-0040;Produit 40;1;
#1497;28-oct.-18;1-0003;Produit 3;4;
#1498;28-oct.-18;1-0041;Produit 41;1;
#1500;28-oct.-18;1-0037;Produit 37;1;
#1500;28-oct.-18;1-0010;Produit 10;1;
#1500;28-oct.-18;1-0025;Produit 25;1;
#1500;28-oct.-18;1-0004;Produit 4;1;
#1501;28-oct.-18;1-0055;Produit 55;2;
#1501;28-oct.-18;1-0050;Produit 50;2;
#1501;28-oct.-18;1-0060;Produit 60;1;
#1501;28-oct.-18;1-0063;Produit 63;1;
#1502;28-oct.-18;1-0011;Produit 11;4;
#1502;28-oct.-18;1-0100;Produit 100;4;
#1502;28-oct.-18;1-0058;Produit 58;5;
#1502;28-oct.-18;1-0060;Produit 60;1;
#1502;28-oct.-18;1-0064;Produit 64;3;
#1502;28-oct.-18;1-0063;Produit 63;3;
#1502;28-oct.-18;1-0031;Produit 31;4;
#1502;28-oct.-18;1-0052;Produit 52;5;
#1502;28-oct.-18;1-0055;Produit 55;10;
#1502;28-oct.-18;1-0050;Produit 50;10;
#1503;28-oct.-18;1-0011;Produit 11;1;
#1503;28-oct.-18;1-0017;Produit 17;1;
#1503;28-oct.-18;1-0029;Produit 29;1;
#1503;28-oct.-18;1-0030;Produit 30;1;
#1503;28-oct.-18;1-0021;Produit 21;6;
#1503;28-oct.-18;1-0018;Produit 18;2;
#1505;28-oct.-18;1-0095;Produit 95;1;
#1505;28-oct.-18;1-0097;Produit 97;1;
#1505;28-oct.-18;1-0038;Produit 38;1;
#1505;28-oct.-18;1-0004;Produit 4;2;
#1505;28-oct.-18;1-0028;Produit 28;1;
#1505;28-oct.-18;1-0096;Produit 96;1;
#1505;28-oct.-18;1-0050;Produit 50;3;
#1505;28-oct.-18;1-0095;Produit 95;1;
#1505;28-oct.-18;1-0097;Produit 97;1;
#1505;28-oct.-18;1-0038;Produit 38;1;
#1505;28-oct.-18;1-0004;Produit 4;2;
#1505;28-oct.-18;1-0028;Produit 28;1;
#1505;28-oct.-18;1-0096;Produit 96;1;
#1505;28-oct.-18;1-0050;Produit 50;3;
#1506;29-oct.-18;1-0040;Produit 40;1;
#1507;29-oct.-18;1-0007;Produit 7;1;
#1507;29-oct.-18;1-0008;Produit 8;1;
#1507;29-oct.-18;1-0050;Produit 50;2;
#1507;29-oct.-18;1-0055;Produit 55;3;
#1507;29-oct.-18;1-0061;Produit 61;4;
#1507;29-oct.-18;1-0003;Produit 3;2;
#1507;29-oct.-18;1-0049;Produit 49;2;
#1510;29-oct.-18;1-0008;Produit 8;1;
#1510;29-oct.-18;1-0007;Produit 7;1;
#1510;29-oct.-18;1-0050;Produit 50;8;
#1510;29-oct.-18;1-0071;Produit 71;1;
#1511;29-oct.-18;1-0051;Produit 51;1;
#1511;29-oct.-18;1-0055;Produit 55;1;
#1511;29-oct.-18;1-0053;Produit 53;3;
#1511;29-oct.-18;1-0012;Produit 12;1;
#1511;29-oct.-18;1-0096;Produit 96;2;
#1511;29-oct.-18;1-0029;Produit 29;1;
#1511;29-oct.-18;1-0061;Produit 61;1;
#1511;29-oct.-18;1-0063;Produit 63;1;
#1512;29-oct.-18;1-0039;Produit 39;1;
#1512;29-oct.-18;1-0040;Produit 40;1;
#1512;29-oct.-18;1-0053;Produit 53;2;
#1512;29-oct.-18;1-0052;Produit 52;1;
#1512;29-oct.-18;1-0014;Produit 14;2;
#1514;29-oct.-18;1-0012;Produit 12;1;
#1514;29-oct.-18;1-0066;Produit 66;1;
#1514;29-oct.-18;1-0060;Produit 60;2;
#1514;29-oct.-18;1-0014;Produit 14;1;
#1515;30-oct.-18;1-0014;Produit 14;1;
#1515;30-oct.-18;1-0058;Produit 58;2;
#1515;30-oct.-18;1-0050;Produit 50;2;
#1515;30-oct.-18;1-0012;Produit 12;5;
#1515;30-oct.-18;1-0025;Produit 25;1;
#1515;30-oct.-18;1-0023;Produit 23;1;
#1516;30-oct.-18;1-0010;Produit 10;1;
#1516;30-oct.-18;1-0004;Produit 4;1;
#1516;30-oct.-18;1-0056;Produit 56;2;
#1516;30-oct.-18;1-0061;Produit 61;1;
#1516;30-oct.-18;1-0055;Produit 55;3;
#1516;30-oct.-18;1-0058;Produit 58;3;
#1516;30-oct.-18;1-0054;Produit 54;3;
#1516;30-oct.-18;1-0050;Produit 50;4;
#1517;30-oct.-18;1-0066;Produit 66;1;
#1517;30-oct.-18;1-0096;Produit 96;1;
#1517;30-oct.-18;1-0055;Produit 55;3;
#1517;30-oct.-18;1-0050;Produit 50;1;
#1518;30-oct.-18;1-0062;Produit 62;1;
#1518;30-oct.-18;1-0050;Produit 50;2;
#1519;30-oct.-18;1-0050;Produit 50;5;
#1519;30-oct.-18;1-0053;Produit 53;3;
#1519;30-oct.-18;1-0056;Produit 56;5;
#1519;30-oct.-18;1-0046;Produit 46;3;
#1519;30-oct.-18;1-0028;Produit 28;1;
#1519;30-oct.-18;1-0029;Produit 29;1;
#1519;30-oct.-18;1-0030;Produit 30;1;
#1520;30-oct.-18;1-0054;Produit 54;1;
#1520;30-oct.-18;1-0066;Produit 66;1;
#1520;30-oct.-18;1-0056;Produit 56;1;
#1521;30-oct.-18;1-0100;Produit 100;1;
#1523;31-oct.-18;1-0058;Produit 58;2;
#1523;31-oct.-18;1-0062;Produit 62;1;
#1524;31-oct.-18;1-0100;Produit 100;2;
#1524;31-oct.-18;1-0004;Produit 4;1;
#1524;31-oct.-18;1-0016;Produit 16;1;
#1524;31-oct.-18;1-0040;Produit 40;1;
#1524;31-oct.-18;1-0039;Produit 39;2;
#1524;31-oct.-18;1-0050;Produit 50;4;
#1525;31-oct.-18;1-0062;Produit 62;1;
#1525;31-oct.-18;1-0063;Produit 63;1;
#1525;31-oct.-18;1-0037;Produit 37;1;
#1525;31-oct.-18;1-0043;Produit 43;1;
#1526;31-oct.-18;1-0054;Produit 54;1;
#1527;31-oct.-18;1-0004;Produit 4;1;
#1528;31-oct.-18;1-0056;Produit 56;2;
#1528;31-oct.-18;1-0023;Produit 23;1;
#1528;31-oct.-18;1-0045;Produit 45;1;
#1528;31-oct.-18;1-0041;Produit 41;1;
#1529;31-oct.-18;1-0050;Produit 50;3;
#1531;31-oct.-18;1-0050;Produit 50;3;
#1531;31-oct.-18;1-0003;Produit 3;1;
#1531;31-oct.-18;1-0014;Produit 14;1;
#1531;31-oct.-18;1-0001;Produit 1;1;
#1533;1-nov.-18;1-0043;Produit 43;1;
#1533;1-nov.-18;1-0040;Produit 40;1;
#1533;1-nov.-18;1-0063;Produit 63;1;
#1534;1-nov.-18;1-0058;Produit 58;2;
#1534;1-nov.-18;1-0057;Produit 57;5;
#1534;1-nov.-18;1-0050;Produit 50;5;
#1534;1-nov.-18;1-0062;Produit 62;1;
#1534;1-nov.-18;1-0038;Produit 38;1;
#1534;1-nov.-18;1-0061;Produit 61;1;
#1535;1-nov.-18;1-0095;Produit 95;1;
#1535;1-nov.-18;1-0055;Produit 55;1;
#1535;1-nov.-18;1-0058;Produit 58;1;
#1535;1-nov.-18;1-0050;Produit 50;2;
#1536;1-nov.-18;1-0050;Produit 50;1;
#1538;1-nov.-18;1-0008;Produit 8;1;
#1538;1-nov.-18;1-0053;Produit 53;1;
#1538;1-nov.-18;1-0050;Produit 50;2;
#1539;1-nov.-18;1-0076;Produit 76;1;
#1539;1-nov.-18;1-0078;Produit 78;1;
#1539;1-nov.-18;1-0067;Produit 67;1;
#1539;1-nov.-18;1-0061;Produit 61;1;
#1541;1-nov.-18;1-0060;Produit 60;1;
#1541;1-nov.-18;1-0030;Produit 30;1;
#1541;1-nov.-18;1-0075;Produit 75;1;
#1541;1-nov.-18;1-0050;Produit 50;3;
#1541;1-nov.-18;1-0007;Produit 7;1;
#1542;1-nov.-18;1-0014;Produit 14;1;
#1542;1-nov.-18;1-0056;Produit 56;2;
#1542;1-nov.-18;1-0079;Produit 79;1;
#1542;1-nov.-18;1-0058;Produit 58;1;
#1543;1-nov.-18;1-0010;Produit 10;1;
#1543;1-nov.-18;1-0015;Produit 15;1;
#1543;1-nov.-18;1-0055;Produit 55;4;
#1543;1-nov.-18;1-0054;Produit 54;3;
#1543;1-nov.-18;1-0050;Produit 50;2;
#1544;1-nov.-18;1-0055;Produit 55;3;
#1545;1-nov.-18;1-0064;Produit 64;1;
#1545;1-nov.-18;1-0061;Produit 61;2;
#1545;1-nov.-18;1-0096;Produit 96;1;
#1546;1-nov.-18;1-0095;Produit 95;1;
#1546;1-nov.-18;1-0004;Produit 4;1;
#1546;1-nov.-18;1-0064;Produit 64;1;
#1546;1-nov.-18;1-0061;Produit 61;2;
#1546;1-nov.-18;1-0035;Produit 35;1;
#1546;1-nov.-18;1-0032;Produit 32;1;
#1548;1-nov.-18;1-0053;Produit 53;1;
#1548;1-nov.-18;1-0096;Produit 96;2;
#1548;1-nov.-18;1-0003;Produit 3;2;
#1548;1-nov.-18;1-0041;Produit 41;1;
#1549;1-nov.-18;1-0096;Produit 96;1;
#1549;1-nov.-18;1-0060;Produit 60;1;
#1549;1-nov.-18;1-0066;Produit 66;1;
#1550;1-nov.-18;1-0038;Produit 38;1;
#1550;1-nov.-18;1-0050;Produit 50;5;
#1550;1-nov.-18;1-0053;Produit 53;3;
#1550;1-nov.-18;1-0056;Produit 56;3;
#1551;1-nov.-18;1-0050;Produit 50;1;
#1551;1-nov.-18;1-0040;Produit 40;3;
#1551;1-nov.-18;1-0054;Produit 54;3;
#1552;1-nov.-18;1-0071;Produit 71;1;
#1552;1-nov.-18;1-0056;Produit 56;1;
#1552;1-nov.-18;1-0058;Produit 58;1;
#1552;1-nov.-18;1-0054;Produit 54;4;
#1553;2-nov.-18;1-0058;Produit 58;1;
#1553;2-nov.-18;1-0053;Produit 53;1;
#1555;2-nov.-18;1-0057;Produit 57;1;
#1555;2-nov.-18;1-0055;Produit 55;1;
#1556;2-nov.-18;1-0010;Produit 10;1;
#1557;2-nov.-18;1-0045;Produit 45;1;
#1557;2-nov.-18;1-0004;Produit 4;1;
#1557;2-nov.-18;1-0057;Produit 57;1;
#1558;2-nov.-18;1-0032;Produit 32;1;
#1558;2-nov.-18;1-0099;Produit 99;1;
#1558;2-nov.-18;1-0094;Produit 94;1;
#1558;2-nov.-18;1-0067;Produit 67;1;
#1558;2-nov.-18;1-0059;Produit 59;1;
#1558;2-nov.-18;1-0056;Produit 56;5;
#1558;2-nov.-18;1-0053;Produit 53;3;
#1559;2-nov.-18;1-0055;Produit 55;2;
#1559;2-nov.-18;1-0053;Produit 53;1;
#1560;2-nov.-18;1-0076;Produit 76;1;
#1560;2-nov.-18;1-0026;Produit 26;1;
#1560;2-nov.-18;1-0047;Produit 47;1;
#1560;2-nov.-18;1-0098;Produit 98;1;
#1560;2-nov.-18;1-0099;Produit 99;1;
#1561;2-nov.-18;1-0001;Produit 1;1;
#1561;2-nov.-18;1-0040;Produit 40;1;
#1562;3-nov.-18;1-0053;Produit 53;2;
#1562;3-nov.-18;1-0001;Produit 1;1;
#1564;3-nov.-18;1-0053;Produit 53;3;
#1564;3-nov.-18;1-0006;Produit 6;1;
#1564;3-nov.-18;1-0052;Produit 52;2;
#1565;3-nov.-18;1-0063;Produit 63;1;
#1566;3-nov.-18;1-0023;Produit 23;2;
#1566;3-nov.-18;1-0039;Produit 39;3;
#1566;3-nov.-18;1-0057;Produit 57;2;
#1567;3-nov.-18;1-0068;Produit 68;1;
#1567;3-nov.-18;1-0007;Produit 7;1;
#1567;3-nov.-18;1-0010;Produit 10;1;
#1567;3-nov.-18;1-0053;Produit 53;2;
#1567;3-nov.-18;1-0065;Produit 65;1;
#1567;3-nov.-18;1-0066;Produit 66;1;
#1568;3-nov.-18;1-0015;Produit 15;1;
#1568;3-nov.-18;1-0064;Produit 64;1;
#1568;3-nov.-18;1-0061;Produit 61;2;
#1569;3-nov.-18;1-0034;Produit 34;2;
#1569;3-nov.-18;1-0004;Produit 4;2;
#1569;3-nov.-18;1-0054;Produit 54;1;
#1570;3-nov.-18;1-0018;Produit 18;1;
#1571;3-nov.-18;1-0015;Produit 15;1;
#1571;3-nov.-18;1-0014;Produit 14;1;
#1572;3-nov.-18;1-0015;Produit 15;1;
#1572;3-nov.-18;1-0065;Produit 65;1;
#1572;3-nov.-18;1-0003;Produit 3;1;
#1572;3-nov.-18;1-0063;Produit 63;1;
#1572;3-nov.-18;1-0087;Produit 87;1;
#1572;3-nov.-18;1-0090;Produit 90;1;
#1572;3-nov.-18;1-0055;Produit 55;1;
#1572;3-nov.-18;1-0058;Produit 58;1;
#1573;4-nov.-18;1-0064;Produit 64;1;
#1573;4-nov.-18;1-0066;Produit 66;1;
#1573;4-nov.-18;1-0065;Produit 65;1;
#1573;4-nov.-18;1-0061;Produit 61;1;
#1573;4-nov.-18;1-0063;Produit 63;3;
#1573;4-nov.-18;1-0055;Produit 55;3;
